model,layer,domain_a,domain_b,auc
google--gemma-3-12b-it--width_262k,0,biology,chemistry,0.759721
google--gemma-3-12b-it--width_262k,0,biology,math,0.675117
google--gemma-3-12b-it--width_262k,0,biology,physics,0.719136
google--gemma-3-12b-it--width_262k,0,chemistry,math,0.79142
google--gemma-3-12b-it--width_262k,0,chemistry,physics,0.863649
google--gemma-3-12b-it--width_262k,0,math,physics,0.828038
google--gemma-3-12b-it--width_262k,1,biology,chemistry,0.786878
google--gemma-3-12b-it--width_262k,1,biology,math,0.710474
google--gemma-3-12b-it--width_262k,1,biology,physics,0.748111
google--gemma-3-12b-it--width_262k,1,chemistry,math,0.816478
google--gemma-3-12b-it--width_262k,1,chemistry,physics,0.876482
google--gemma-3-12b-it--width_262k,1,math,physics,0.850601
google--gemma-3-12b-it--width_262k,2,biology,chemistry,0.928132
google--gemma-3-12b-it--width_262k,2,biology,math,0.904048
google--gemma-3-12b-it--width_262k,2,biology,physics,0.913103
google--gemma-3-12b-it--width_262k,2,chemistry,math,0.945115
google--gemma-3-12b-it--width_262k,2,chemistry,physics,0.96338
google--gemma-3-12b-it--width_262k,2,math,physics,0.958047
google--gemma-3-12b-it--width_262k,3,biology,chemistry,0.913243
google--gemma-3-12b-it--width_262k,3,biology,math,0.882665
google--gemma-3-12b-it--width_262k,3,biology,physics,0.898852
google--gemma-3-12b-it--width_262k,3,chemistry,math,0.9257
google--gemma-3-12b-it--width_262k,3,chemistry,physics,0.940987
google--gemma-3-12b-it--width_262k,3,math,physics,0.935946
google--gemma-3-12b-it--width_262k,4,biology,chemistry,0.875305
google--gemma-3-12b-it--width_262k,4,biology,math,0.829217
google--gemma-3-12b-it--width_262k,4,biology,physics,0.849061
google--gemma-3-12b-it--width_262k,4,chemistry,math,0.895279
google--gemma-3-12b-it--width_262k,4,chemistry,physics,0.927998
google--gemma-3-12b-it--width_262k,4,math,physics,0.915031
google--gemma-3-12b-it--width_262k,5,biology,chemistry,0.833626
google--gemma-3-12b-it--width_262k,5,biology,math,0.775956
google--gemma-3-12b-it--width_262k,5,biology,physics,0.800936
google--gemma-3-12b-it--width_262k,5,chemistry,math,0.859064
google--gemma-3-12b-it--width_262k,5,chemistry,physics,0.905172
google--gemma-3-12b-it--width_262k,5,math,physics,0.887709
google--gemma-3-12b-it--width_262k,6,biology,chemistry,0.808712
google--gemma-3-12b-it--width_262k,6,biology,math,0.750985
google--gemma-3-12b-it--width_262k,6,biology,physics,0.772469
google--gemma-3-12b-it--width_262k,6,chemistry,math,0.844127
google--gemma-3-12b-it--width_262k,6,chemistry,physics,0.896272
google--gemma-3-12b-it--width_262k,6,math,physics,0.870279
google--gemma-3-12b-it--width_262k,7,biology,chemistry,0.787343
google--gemma-3-12b-it--width_262k,7,biology,math,0.731874
google--gemma-3-12b-it--width_262k,7,biology,physics,0.754315
google--gemma-3-12b-it--width_262k,7,chemistry,math,0.821876
google--gemma-3-12b-it--width_262k,7,chemistry,physics,0.886126
google--gemma-3-12b-it--width_262k,7,math,physics,0.853969
google--gemma-3-12b-it--width_262k,8,biology,chemistry,0.760604
google--gemma-3-12b-it--width_262k,8,biology,math,0.704516
google--gemma-3-12b-it--width_262k,8,biology,physics,0.727834
google--gemma-3-12b-it--width_262k,8,chemistry,math,0.805748
google--gemma-3-12b-it--width_262k,8,chemistry,physics,0.874756
google--gemma-3-12b-it--width_262k,8,math,physics,0.835263
google--gemma-3-12b-it--width_262k,9,biology,chemistry,0.769247
google--gemma-3-12b-it--width_262k,9,biology,math,0.718744
google--gemma-3-12b-it--width_262k,9,biology,physics,0.7412
google--gemma-3-12b-it--width_262k,9,chemistry,math,0.795984
google--gemma-3-12b-it--width_262k,9,chemistry,physics,0.863899
google--gemma-3-12b-it--width_262k,9,math,physics,0.827398
google--gemma-3-12b-it--width_262k,10,biology,chemistry,0.740914
google--gemma-3-12b-it--width_262k,10,biology,math,0.687081
google--gemma-3-12b-it--width_262k,10,biology,physics,0.71053
google--gemma-3-12b-it--width_262k,10,chemistry,math,0.777222
google--gemma-3-12b-it--width_262k,10,chemistry,physics,0.844841
google--gemma-3-12b-it--width_262k,10,math,physics,0.812039
google--gemma-3-12b-it--width_262k,11,biology,chemistry,0.738291
google--gemma-3-12b-it--width_262k,11,biology,math,0.689456
google--gemma-3-12b-it--width_262k,11,biology,physics,0.708997
google--gemma-3-12b-it--width_262k,11,chemistry,math,0.769198
google--gemma-3-12b-it--width_262k,11,chemistry,physics,0.8484
google--gemma-3-12b-it--width_262k,11,math,physics,0.8054
google--gemma-3-12b-it--width_262k,12,biology,chemistry,0.747177
google--gemma-3-12b-it--width_262k,12,biology,math,0.692789
google--gemma-3-12b-it--width_262k,12,biology,physics,0.715102
google--gemma-3-12b-it--width_262k,12,chemistry,math,0.767759
google--gemma-3-12b-it--width_262k,12,chemistry,physics,0.849113
google--gemma-3-12b-it--width_262k,12,math,physics,0.797219
google--gemma-3-12b-it--width_262k,13,biology,chemistry,0.700379
google--gemma-3-12b-it--width_262k,13,biology,math,0.636038
google--gemma-3-12b-it--width_262k,13,biology,physics,0.662428
google--gemma-3-12b-it--width_262k,13,chemistry,math,0.743037
google--gemma-3-12b-it--width_262k,13,chemistry,physics,0.834582
google--gemma-3-12b-it--width_262k,13,math,physics,0.778408
google--gemma-3-12b-it--width_262k,14,biology,chemistry,0.686913
google--gemma-3-12b-it--width_262k,14,biology,math,0.636436
google--gemma-3-12b-it--width_262k,14,biology,physics,0.65345
google--gemma-3-12b-it--width_262k,14,chemistry,math,0.730091
google--gemma-3-12b-it--width_262k,14,chemistry,physics,0.830382
google--gemma-3-12b-it--width_262k,14,math,physics,0.767399
google--gemma-3-12b-it--width_262k,15,biology,chemistry,0.692085
google--gemma-3-12b-it--width_262k,15,biology,math,0.64283
google--gemma-3-12b-it--width_262k,15,biology,physics,0.655275
google--gemma-3-12b-it--width_262k,15,chemistry,math,0.737166
google--gemma-3-12b-it--width_262k,15,chemistry,physics,0.830396
google--gemma-3-12b-it--width_262k,15,math,physics,0.770384
google--gemma-3-12b-it--width_262k,16,biology,chemistry,0.740557
google--gemma-3-12b-it--width_262k,16,biology,math,0.695773
google--gemma-3-12b-it--width_262k,16,biology,physics,0.707769
google--gemma-3-12b-it--width_262k,16,chemistry,math,0.766689
google--gemma-3-12b-it--width_262k,16,chemistry,physics,0.840466
google--gemma-3-12b-it--width_262k,16,math,physics,0.800954
google--gemma-3-12b-it--width_262k,17,biology,chemistry,0.719246
google--gemma-3-12b-it--width_262k,17,biology,math,0.677483
google--gemma-3-12b-it--width_262k,17,biology,physics,0.68198
google--gemma-3-12b-it--width_262k,17,chemistry,math,0.744519
google--gemma-3-12b-it--width_262k,17,chemistry,physics,0.833523
google--gemma-3-12b-it--width_262k,17,math,physics,0.77757
google--gemma-3-12b-it--width_262k,18,biology,chemistry,0.714942
google--gemma-3-12b-it--width_262k,18,biology,math,0.670078
google--gemma-3-12b-it--width_262k,18,biology,physics,0.678899
google--gemma-3-12b-it--width_262k,18,chemistry,math,0.742302
google--gemma-3-12b-it--width_262k,18,chemistry,physics,0.832642
google--gemma-3-12b-it--width_262k,18,math,physics,0.77876
google--gemma-3-12b-it--width_262k,19,biology,chemistry,0.718759
google--gemma-3-12b-it--width_262k,19,biology,math,0.677208
google--gemma-3-12b-it--width_262k,19,biology,physics,0.679849
google--gemma-3-12b-it--width_262k,19,chemistry,math,0.746468
google--gemma-3-12b-it--width_262k,19,chemistry,physics,0.838289
google--gemma-3-12b-it--width_262k,19,math,physics,0.774309
google--gemma-3-12b-it--width_262k,20,biology,chemistry,0.738829
google--gemma-3-12b-it--width_262k,20,biology,math,0.69593
google--gemma-3-12b-it--width_262k,20,biology,physics,0.700677
google--gemma-3-12b-it--width_262k,20,chemistry,math,0.763356
google--gemma-3-12b-it--width_262k,20,chemistry,physics,0.84419
google--gemma-3-12b-it--width_262k,20,math,physics,0.790479
google--gemma-3-12b-it--width_262k,21,biology,chemistry,0.751567
google--gemma-3-12b-it--width_262k,21,biology,math,0.703558
google--gemma-3-12b-it--width_262k,21,biology,physics,0.708734
google--gemma-3-12b-it--width_262k,21,chemistry,math,0.774998
google--gemma-3-12b-it--width_262k,21,chemistry,physics,0.85474
google--gemma-3-12b-it--width_262k,21,math,physics,0.801911
google--gemma-3-12b-it--width_262k,22,biology,chemistry,0.759311
google--gemma-3-12b-it--width_262k,22,biology,math,0.699924
google--gemma-3-12b-it--width_262k,22,biology,physics,0.716816
google--gemma-3-12b-it--width_262k,22,chemistry,math,0.789257
google--gemma-3-12b-it--width_262k,22,chemistry,physics,0.863653
google--gemma-3-12b-it--width_262k,22,math,physics,0.819658
google--gemma-3-12b-it--width_262k,23,biology,chemistry,0.741584
google--gemma-3-12b-it--width_262k,23,biology,math,0.679577
google--gemma-3-12b-it--width_262k,23,biology,physics,0.697398
google--gemma-3-12b-it--width_262k,23,chemistry,math,0.779727
google--gemma-3-12b-it--width_262k,23,chemistry,physics,0.868725
google--gemma-3-12b-it--width_262k,23,math,physics,0.809559
google--gemma-3-12b-it--width_262k,24,biology,chemistry,0.76307
google--gemma-3-12b-it--width_262k,24,biology,math,0.70427
google--gemma-3-12b-it--width_262k,24,biology,physics,0.719914
google--gemma-3-12b-it--width_262k,24,chemistry,math,0.805159
google--gemma-3-12b-it--width_262k,24,chemistry,physics,0.879746
google--gemma-3-12b-it--width_262k,24,math,physics,0.830759
google--gemma-3-12b-it--width_262k,25,biology,chemistry,0.741415
google--gemma-3-12b-it--width_262k,25,biology,math,0.695347
google--gemma-3-12b-it--width_262k,25,biology,physics,0.70486
google--gemma-3-12b-it--width_262k,25,chemistry,math,0.79457
google--gemma-3-12b-it--width_262k,25,chemistry,physics,0.874348
google--gemma-3-12b-it--width_262k,25,math,physics,0.823009
google--gemma-3-12b-it--width_262k,26,biology,chemistry,0.745747
google--gemma-3-12b-it--width_262k,26,biology,math,0.702348
google--gemma-3-12b-it--width_262k,26,biology,physics,0.713354
google--gemma-3-12b-it--width_262k,26,chemistry,math,0.799083
google--gemma-3-12b-it--width_262k,26,chemistry,physics,0.870714
google--gemma-3-12b-it--width_262k,26,math,physics,0.826265
google--gemma-3-12b-it--width_262k,27,biology,chemistry,0.746536
google--gemma-3-12b-it--width_262k,27,biology,math,0.702677
google--gemma-3-12b-it--width_262k,27,biology,physics,0.711286
google--gemma-3-12b-it--width_262k,27,chemistry,math,0.802618
google--gemma-3-12b-it--width_262k,27,chemistry,physics,0.868082
google--gemma-3-12b-it--width_262k,27,math,physics,0.828599
google--gemma-3-12b-it--width_262k,28,biology,chemistry,0.741564
google--gemma-3-12b-it--width_262k,28,biology,math,0.698216
google--gemma-3-12b-it--width_262k,28,biology,physics,0.70956
google--gemma-3-12b-it--width_262k,28,chemistry,math,0.789969
google--gemma-3-12b-it--width_262k,28,chemistry,physics,0.860539
google--gemma-3-12b-it--width_262k,28,math,physics,0.822648
google--gemma-3-12b-it--width_262k,29,biology,chemistry,0.739894
google--gemma-3-12b-it--width_262k,29,biology,math,0.701038
